Iteration,Generation,chromosome,weights,score
0,0,0,"[-31.88395745 -16.20886707  43.64671129 -34.12190196 -32.57707856
   2.74382421  28.41085858  28.00055269]",11964
0,3,0,"[-31.88395745 -16.20886707  43.64671129 -34.12190196  23.61184927
  41.19293833 -34.70749797  33.75808344]",14714
0,16,2,"[-31.88395745 -16.20886707  43.64671129 -34.12190196 -32.57707856
   2.74382421  28.41085858  28.00055269]",18775
1,1,2,"[-13.76623498  -8.31548218  45.45997697 -44.74880002   8.8122277
  27.33049749 -39.44561269  49.59184887]",22422
2,3,0,"[-31.88395745 -16.20886707   7.65623383 -34.12190196 -32.57707856
  34.73571674 -28.62565297  39.33287464]",51906
4,18,9,"[-13.76623498 -11.84609247  45.45997697 -44.74880002   8.8122277
  27.33049749  28.41085858  28.00055269]",75017
7,3,0,"[-13.76623498 -11.84609247  45.45997697 -44.74880002   8.8122277
  41.19293833 -34.70749797  33.75808344]",90519
26,9,1,"[-13.76623498 -11.84609247  45.45997697 -44.74880002   8.8122277
  41.19293833 -34.70749797  33.75808344]",105014
37,17,2,"[-13.76623498 -11.84609247  45.45997697 -44.74880002   8.8122277
  27.33049749  45.13555914  35.27317339]",109226
62,6,2,"[-13.76623498 -11.84609247  45.45997697 -44.74880002   8.8122277
  41.19293833 -34.70749797  33.75808344]",198859
